X,Y
522377.98084131407,182949.6159988442
521643.0855294314,181567.7185062784
523823.4895507411,179340.20878456626
523458.9160665417,178929.02852651413
523630.8955867968,179021.9941895762
522322.6356309388,178727.2040246909
522802.6426221533,181539.00910363742
522759.9727467266,180570.81929350446
530331.9886933865,183664.52657412837
530724.9471621067,187024.15912005678
531318.8932202186,185382.3254254884
530030.0041556618,187067.1402747229
531622.8362861695,186299.2496603934
530684.989684631,186250.28038585692
531091.9449114725,184128.50161751668
529501.0863008834,186282.20092728507
532273.7564082099,185673.29739071545
530774.9442857816,185220.39419420867
531485.863049692,183428.60270696698
529499.0885641816,186580.22633558675
528984.969751998,187091.5010249386
530228.9952084402,186779.1790180959
531972.8286003763,185962.31266808056
529694.5693076358,185514.02931549167
531607.8697745231,185529.346000375
530826.9559694824,183300.5255763968
532782.5515742048,182478.8926978786
528985.1934931709,187355.09056742874
531876.8017568553,182187.6804171392
531886.8026231166,181933.69882917148
532007.634544986,185195.593384545
527043.3783758034,177888.88768489507
524631.7583920278,181106.84597039252
523720.8833348536,181390.7482358151
524164.8078650691,181125.77766721102
527950.3224314664,178815.08096334356
524112.8279763016,180474.87005844055
525484.6658018198,179711.96986257908
524108.785908491,182255.6828100112
523878.8664860429,181794.68535758258
526371.522757562,178724.0523315182
527686.3566378886,179248.0322742919
519887.3272883269,177941.10843836388
506452.04396517476,172227.73960353248
525295.6814931479,180771.83153830224
527549.089212971,179172.26421110384
525029.6924717684,180634.87908206432
523697.86739828537,181648.75085944356
526549.5234997318,179003.0724126055
531194.9289611622,178847.0942835788
531886.8683973505,175214.53450081096
530955.6949892128,178964.20264137175
530032.1134840965,176542.31972573698
531309.8860724452,176994.29060271243
532136.8155581198,175492.50645915
528905.260628882,173789.61368341604
530883.9643228126,177132.28867754037
529322.1760002896,175061.56430365797
528905.260628882,173789.61368341604
531271.9012280959,180361.94413239643
532241.7835791551,173726.68875346077
539049.9520444379,171863.90466967208
535532.3719425524,176460.42759433016
536979.249114918,174765.63128009642
538596.050984585,174388.597747793
540140.8043186633,171730.9085905542
536731.0695024293,173104.72792627115
538950.982184556,173519.68646816467
536257.745622553,174154.36517965503
537873.0996774923,174816.59346450825
536115.3309827809,171956.85675163416
537245.2122200761,176486.34526307916
534910.5006982088,172422.8200714729
535690.3790093062,172185.85151856695
536884.2385854203,174413.57909362292
537020.9988413253,175130.60475523572
534572.5160626882,171590.9519653879
533542.6216087819,179079.0553523369
533478.695944903,171950.92393341963
533989.6201768517,176006.40680668975
533510.6440694464,178012.17303692922
532114.7874497215,177177.25771890767
533154.7011251008,175844.39318044198
534191.5506355003,174252.61268540885
534374.54576416,179632.96073579334
535370.3822132894,178816.10246015253
532980.698903383,179857.97509173327
534730.4641349649,179138.01333745918
535783.3256900213,179720.0517520227
533253.4692986791,176814.4343025165
534265.347397926,177536.36277500394
533931.5774156146,175608.43668047438
532226.7951145807,178680.13246020256
531502.8538906998,179302.00456025917
534532.550934093,176231.36928398005
535839.3658006978,180454.92245177698
531964.8536423533,178143.14565013663
535924.3584645066,179801.04450106889
532742.7176210894,179090.02464382508
531944.8722483051,177382.24432241544
531448.8577309463,179314.07003259053
533077.7169145312,173047.73423408665
533245.6932955289,174665.58353595337
530560.0017061004,179400.074240077
534058.6053314137,177546.260473939
533506.6633607226,177534.29189697315
534185.3397960819,178995.29448414745
535642.2412736994,181514.93985162833
535405.4039734844,182827.59642780834
535479.3984820892,182369.69723849412
535364.3889967052,183061.61315827793
536034.2688159457,183472.53354369488
535197.2953189727,182333.91177512606
534355.4899812203,182915.62868918898
537361.1189322264,181095.82822310593
536169.2620768317,183192.64002210484
535204.2858792521,181909.94236048002
534616.3747080073,182347.8438741673
534200.3757908366,180852.07285589707
534104.554926607,182444.6705578033
537553.991799507,181634.0365575492
537918.0778034132,181466.77234425384
535361.3671796389,182732.62186265498
538312.0034769939,178511.1139784606
536741.1820296259,182837.6037651964
535689.3698182974,181569.83099160786
535340.3786180541,181249.8524976694
536876.1938161019,182808.6417878219
526010.5674894409,174418.59687855252
528009.0647863584,176628.50108397962
529235.2093487183,170893.95637397649
527845.4056365868,171499.96151483164
527391.4542298571,170998.93366754905
522760.96745449037,174498.58055660484
522201.7610134308,173263.75816687412
523925.53450296435,173831.68220426142
524125.8297154506,173015.71141071542
521320.17498829396,174128.58658792853
523084.9226363368,175863.3999251724
527585.4325879365,171468.96459386672
525005.7311536268,174947.538940568
523487.9352178315,175715.40837106184
528783.9834202679,176936.4610955452
523653.5860071081,173665.74744834536
523935.8504857087,174689.50070926576
