input_row,standard_postcode,TOT_PERS1115jul,OCC_HH1115jul,X_BNG1115jul,Y_BNG1115jul,input_postcode 
226,W12 0SR ,67.0,18.0,522219,180636,W12 0SR
227,SW6 6ED ,2.0,1.0,524167,176390,SW6 6ED
228,SW6 4BL ,28.0,14.0,525279,176762,SW6 4BL
229,W6  0UA ,47.0,15.0,522438,179207,W6 0UA
230,W6  8QE ,5.0,1.0,524414,177667,W6 8QE
232,W14 0LT ,76.0,36.0,523932,179282,W14 0LT
233,W6  9BP ,5.0,1.0,523176,178344,W6 9BP
234,W6  9BA ,21.0,12.0,522230,178479,W6 9BA
235,W12 8LH ,64.0,23.0,523108,180004,W12 8LH
236,W12 9BY ,138.0,59.0,521869,179672,W12 9BY
237,W12 7QT ,143.0,53.0,522670,180653,W12 7QT
238,SW6 7HB ,49.0,23.0,524635,177397,SW6 7HB
240,W6  7EA ,74.0,21.0,523571,178875,W6 7EA
241,W6  0PG ,4.0,1.0,522972,178861,W6 0PG
243,W6  7BE ,97.0,36.0,523743,178969,W6 7BE
245,W6  0SL ,21.0,8.0,522439,178684,W6 0SL
246,SW6 6DA ,30.0,14.0,524346,176957,SW6 6DA
247,SW6 2NB ,34.0,13.0,525758,176325,SW6 2NB
248,W6  9JT ,65.0,28.0,522747,178544,W6 9JT
251,W12 7PA ,11.0,3.0,523152,180731,W12 7PA
252,W12 0SP ,54.0,20.0,522474,180669,W12 0SP
255,N4  3RB ,184.0,75.0,530838,186971,N4 3RB
256,N1  0HN ,62.0,30.0,531291,183791,N1 0HN
257,N7  8RH ,22.0,9.0,530968,184836,N7 8RH
258,N4  2DR ,67.0,37.0,531757,186505,N4 2DR
262,N5  1LH ,127.0,47.0,531736,186246,N5 1LH
263,N7  6AR ,36.0,16.0,530461,186176,N7 6AR
264,N1  8BD ,4.0,1.0,531949,183276,N1 8BD
265,N19 5BS ,13.0,4.0,529016,186684,N19 5BS
266,N1  1SW ,3.0,1.0,531459,184541,N1 1SW
268,N7  6DU ,40.0,20.0,530798,186197,N7 6DU
270,N1  1HX ,17.0,10.0,531205,184075,N1 1HX
271,N1  0TJ ,4.0,2.0,530960,183508,N1 0TJ
273,N19 4RR ,134.0,67.0,529610,186227,N19 4RR
275,N5  2DP ,3.0,1.0,532387,185620,N5 2DP
276,N8  9EG ,19.0,10.0,530252,187861,N8 9EG
277,EC1Y8JA ,4.0,1.0,532396,182046,EC1Y 8JA
281,N19 5RR ,207.0,83.0,529606,186517,N19 5RR
283,N19 5NE ,16.0,5.0,529102,187027,N19 5NE
284,N1  4AZ ,20.0,14.0,533292,184988,N1 4AZ
286,N19 4JF ,59.0,35.0,530342,186726,N19 4JF
287,N1  2EP ,4.0,1.0,531874,183984,N1 2EP
288,EC1V0EU ,1.0,1.0,531847,182367,EC1V 0EU
290,N5  2UX ,52.0,21.0,532086,185909,N5 2UX
291,N4  3QW ,56.0,27.0,530819,187019,N4 3QW
297,N6  5LY ,3.0,1.0,529118,187308,N6 5LY
299,EC1M7AJ ,126.0,57.0,532035,182105,EC1M 7AJ
301,EC1M6EA ,13.0,5.0,532011,181872,EC1M 6EA
303,N5  2EG ,1.0,1.0,532105,185132,N5 2EG
304,W10 5TN ,96.0,40.0,524522,181701,W10 5TN
306,SW3 5JE ,14.0,7.0,527159,177820,SW3 5JE
307,W10 5TN ,96.0,40.0,524522,181701,W10 5TN
308,SW100DT ,3.0,2.0,526622,177448,SW10 0DT
309,W10 6BH ,5.0,1.0,523831,181997,W10 6BH
310,W10 5TW ,6.0,2.0,524370,181779,W10 5TW
312,W11 2DF ,25.0,12.0,524745,181053,W11 2DF
313,W8  7PP ,4.0,3.0,525247,180271,W8 7PP
315,W10 6NF ,63.0,39.0,523833,181338,W10 6NF
316,SW100AY ,7.0,3.0,526584,177718,SW10 0AY
318,W11 1RQ ,48.0,21.0,524278,181073,W11 1RQ
320,SW1X9DE ,12.0,4.0,528066,178760,SW1X 9DE
321,SW3 6QH ,10.0,7.0,527126,178439,SW3 6QH
322,W10 5EF ,41.0,17.0,524383,182061,W10 5EF
323,W8  6EJ ,10.0,3.0,525162,179203,W8 6EJ
325,W11 4PG ,8.0,5.0,524226,180422,W11 4PG
327,W8  4SP ,22.0,9.0,525598,179658,W8 4SP
329,W10 5AW ,14.0,3.0,524221,182203,W10 5AW
330,SW109NA ,6.0,5.0,526255,177797,SW10 9NA
333,SW7 5AQ ,2.0,1.0,526486,178667,SW7 5AQ
334,W10 6EB ,27.0,5.0,523928,181778,W10 6EB
335,SW109JH ,50.0,30.0,526035,177888,SW10 9JH
336,SW7 5JX ,22.0,12.0,526502,178804,SW7 5JX
337,SW6 5PA ,6.0,3.0,524907,176874,SW6 5PA
338,W11 4UH ,62.0,29.0,524174,180052,W11 4UH
339,SW7 5LE ,11.0,5.0,526555,178883,SW7 5LE
340,W10 6JP ,63.0,30.0,523767,181435,W10 6JP
341,SW1X0EA ,83.0,46.0,527731,178880,SW1X 0EA
343,SW1X0EP ,23.0,11.0,527804,179197,SW1X 0EP
344,W2  4ED ,40.0,15.0,525308,180690,W2 4ED
345,SW7 4QB ,46.0,24.0,526381,178490,SW7 4QB
346,SW1X0AA ,15.0,9.0,527861,179206,SW1X 0AA
348,W4  3DT ,34.0,10.0,519999,177887,W4 3DT
349,SW7 5QH ,9.0,4.0,526225,179237,SW7 5QH
350,SW7 5JP ,69.0,35.0,526463,179005,SW7 5JP
352,TW153DZ ,32.0,4.0,506562,172173,TW15 3DZ
353,SE1 7RW ,26.0,16.0,531030,179557,SE1 7RW
355,W2  4EH ,53.0,31.0,525410,180715,W2 4EH
357,SW1X0BD ,57.0,32.0,527664,179117,SW1X 0BD
358,W8  5PR ,66.0,26.0,525917,179276,W8 5PR
359,W2  4AT ,62.0,21.0,525713,180752,W2 4AT
360,W8  4PL ,67.0,1.0,525717,179778,W8 4PL
361,SW3 6AH ,17.0,7.0,526788,177889,SW3 6AH
362,SW5 0HL ,73.0,36.0,525845,178582,SW5 0HL
363,SW7 5AB ,30.0,19.0,526505,178722,SW7 5AB
365,W11 3BU ,41.0,14.0,525147,180577,W11 3BU
366,SW7 1PT ,21.0,6.0,526885,179631,SW7 1PT
369,SW7 2DG ,2.0,1.0,526663,178950,SW7 2DG
370,SW109NH ,4.0,2.0,526369,177713,SW10 9NH
371,SW4 7JQ ,41.0,17.0,529788,175189,SW4 7JQ
373,SE114UG ,31.0,15.0,531300,178801,SE11 4UG
374,SW4 8LN ,36.0,11.0,529905,174186,SW4 8LN
375,SW2 2RW ,33.0,10.0,530740,173735,SW2 2RW
376,SW8 1NT ,2.0,1.0,530994,177580,SW8 1NT
377,SW4 0BZ ,19.0,5.0,529446,175606,SW4 0BZ
378,SW165AN ,73.0,23.0,529325,169992,SW16 5AN
379,SW8 3EH ,27.0,13.0,529083,176149,SW8 3EH
381,SE240BJ ,76.0,29.0,531996,175145,SE24 0BJ
382,SW4 6PH ,1.0,1.0,529950,176196,SW4 6PH
383,SW2 4JP ,1.0,1.0,530256,173786,SW2 4JP
384,SW9 9TG ,39.0,22.0,530871,175843,SW9 9TG
385,SW2 5AP ,135.0,57.0,530672,174907,SW2 5AP
386,SW162UW ,72.0,27.0,530632,171707,SW16 2UW
387,SW120HW ,90.0,44.0,529520,173171,SW12 0HW
389,SE116DS ,3.0,1.0,531071,178909,SE11 6DS
390,SW165XE ,95.0,29.0,529690,169799,SW16 5XE
391,SW8 2TJ ,1.0,1.0,530264,177481,SW8 2TJ
393,SW4 6RP ,2.0,1.0,530167,176541,SW4 6RP
394,SE270JF ,111.0,50.0,531790,171907,SE27 0JF
395,SW8 2HP ,6.0,1.0,530243,177187,SW8 2HP
396,SW2 3NJ ,35.0,11.0,531016,172930,SW2 3NJ
398,SW9 6HN ,14.0,3.0,531414,176939,SW9 6HN
399,SW2 3NF ,40.0,17.0,530628,173493,SW2 3NF
400,SW4 0NU ,48.0,18.0,528774,175436,SW4 0NU
401,SW9 9DE ,97.0,41.0,530518,176047,SW9 9DE
402,SE5 0SX ,24.0,13.0,531813,177233,SE5 0SX
403,SW9 7HH ,2.0,1.0,531478,176039,SW9 7HH
404,SE240EL ,85.0,39.0,531723,174567,SE24 0EL
405,SW166NP ,68.0,22.0,529661,171407,SW16 6NP
